index,fips,Fall,Spring,Summer,Winter,max_warming_season,Annual,CTYNAME,STNAME
0,1001,-0.2485643738977183,-0.0737354497354377,-0.3071322751322726,0.2700388007054632,Winter,-0.079968253968259,Autauga County,Alabama
1,1003,0.0496931216931148,0.0600352733686062,-0.0074074074074093,0.444585537918865,Winter,0.1429947089947023,Baldwin County,Alabama
2,1005,0.179485008818347,0.1274920634920663,-0.0612204585537902,0.8911322751322717,Winter,0.3002504409171121,Barbour County,Alabama
3,1007,-0.3981657848324594,-0.2100740740740746,-0.5760846560846631,0.5307936507936566,Winter,-0.1526666666666676,Bibb County,Alabama
4,1009,0.3088677248677272,0.3334603174603193,0.1697636684303353,0.7357883597883662,Winter,0.3855343915344049,Blount County,Alabama
5,1011,0.0856014109347395,0.105410934744272,0.0011569664903009,0.7972910052910015,Winter,0.2644832451499152,Bullock County,Alabama
6,1013,-0.5934250440917199,-0.5365925925925795,-0.4933192239858843,-0.1064691358024656,Winter,-0.4269629629629573,Butler County,Alabama
7,1015,0.0473791887125187,0.0534603174603276,-0.1912663139329879,0.9563880070546682,Winter,0.2173192239858801,Calhoun County,Alabama
8,1017,-0.1390052910052855,0.0043597883597886,0.0372204585537925,0.9747019400352672,Winter,0.2286384479717764,Chambers County,Alabama
9,1019,-0.1857354497354436,-0.0120634920634858,-0.4956754850088266,0.8917389770723033,Winter,0.0508183421516793,Cherokee County,Alabama
10,1021,-0.3892627865961279,-0.1348994708994719,-0.4840776014109256,0.4464479717813065,Winter,-0.1322222222222137,Chilton County,Alabama
11,1023,-0.0235626102292846,-0.2264126984127035,-0.2708430335096963,0.2243245149911736,Winter,-0.0651216931216947,Choctaw County,Alabama
12,1025,0.0135590828924253,-0.1474991181657835,-0.3802892416225775,0.4714356261022939,Winter,-0.0065749559082932,Clarke County,Alabama
13,1027,-0.1895167548500917,-0.1189841269841172,-0.1239223985890639,0.6129664902998255,Winter,0.0521587301587401,Clay County,Alabama
14,1029,-0.0868712522045816,0.0623350970017596,-0.2899611992945362,1.171654320987648,Winter,0.2159294532627883,Cleburne County,Alabama
15,1031,-0.2458694885361601,-0.3035343915343904,-0.1917037037036988,0.1092204585537985,Winter,-0.1465608465608511,Coffee County,Alabama
16,1033,-0.1415873015873166,0.337961199294523,-0.5083033509700252,0.7401622574955856,Winter,0.1091252204585495,Colbert County,Alabama
17,1035,-0.7107301587301538,-0.6091710758377393,-0.7507583774250507,-0.1975731922398593,Winter,-0.5662222222222191,Conecuh County,Alabama
18,1037,-0.3530017636684352,-0.1720776014109333,-0.2921340388006951,0.302730158730149,Winter,-0.1181904761904697,Coosa County,Alabama
19,1039,-0.4979611992945327,-0.4556613756613698,-0.3657707231040554,-0.1430546737213437,Winter,-0.3575555555555543,Covington County,Alabama
20,1041,-0.5954144620811238,-0.5393156966490308,-0.3103350970017691,-0.1895167548500859,Winter,-0.3989417989418089,Crenshaw County,Alabama
21,1043,0.0668924162257516,0.1476119929453307,-0.0312804232804166,0.4148007054673704,Winter,0.1491287477954164,Cullman County,Alabama
22,1045,0.0050934744268088,-0.0629559082892426,-0.1379753086419704,0.5493615520282155,Winter,0.099738977072316,Dale County,Alabama
